
0/354688 [00:00<? ?it/s] wheel.py:111: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(batch.label, dtype=torch.long, device=self.device)

0/354688 [00:05<? ?it/s]  0 loss: 0.25067, acc: 0.4375: 
0/354688 [00:10<? ?it/s]  0 loss: 0.25067, acc: 0.4375: 
256/354688 [00:10<4:11:44 23.46it/s]  0 loss: 0.25067, acc: 0.4375: 
320/354688 [00:12<3:32:49 27.75it/s]  0 loss: 0.25067, acc: 0.4375: 
384/354688 [00:13<3:06:05 31.73it/s]  0 loss: 0.25067, acc: 0.4375: 
448/354688 [00:14<2:48:02 35.13it/s]  0 loss: 0.25067, acc: 0.4375: 
512/354688 [00:16<2:32:29 38.71it/s]  0 loss: 0.25067, acc: 0.4375: 
576/354688 [00:17<2:19:51 42.20it/s]  0 loss: 0.25067, acc: 0.4375: 
640/354688 [00:18<2:11:23 44.91it/s]  0 loss: 0.25067, acc: 0.4375: 
640/354688 [00:19<2:11:23 44.91it/s]  0 loss: 0.23708, acc: 0.60227: 
704/354688 [00:19<2:05:41 46.94it/s]  0 loss: 0.23708, acc: 0.60227: 
768/354688 [00:20<1:57:43 50.11it/s]  0 loss: 0.23708, acc: 0.60227: 
832/354688 [00:21<1:50:35 53.33it/s]  0 loss: 0.23708, acc: 0.60227: 
896/354688 [00:23<1:50:12 53.50it/s]  0 loss: 0.23708, acc: 0.60227: 
960/354688 [00:24<1:51:16 52.98it/s]  0 loss: 0.23708, acc: 0.60227: 
1024/354688 [00:24<1:33:22 63.12it/s]  0 loss: 0.23708, acc: 0.60227: 
1088/354688 [00:25<1:33:32 63.01it/s]  0 loss: 0.23708, acc: 0.60227: 
1152/354688 [00:27<1:42:22 57.56it/s]  0 loss: 0.23708, acc: 0.60227: 
1216/354688 [00:28<1:35:21 61.78it/s]  0 loss: 0.23708, acc: 0.60227: 
1280/354688 [00:29<1:34:58 62.02it/s]  0 loss: 0.23708, acc: 0.60227: 
1280/354688 [00:30<1:34:58 62.02it/s]  0 loss: 0.22907, acc: 0.63393: 
1344/354688 [00:30<1:35:34 61.62it/s]  0 loss: 0.22907, acc: 0.63393: 
1408/354688 [00:31<1:35:19 61.76it/s]  0 loss: 0.22907, acc: 0.63393: 
1472/354688 [00:32<1:35:54 61.39it/s]  0 loss: 0.22907, acc: 0.63393: 
1536/354688 [00:33<1:35:20 61.73it/s]  0 loss: 0.22907, acc: 0.63393: 
1600/354688 [00:34<1:36:10 61.19it/s]  0 loss: 0.22907, acc: 0.63393: 
1664/354688 [00:35<1:30:15 65.19it/s]  0 loss: 0.22907, acc: 0.63393: 
1728/354688 [00:36<1:31:05 64.58it/s]  0 loss: 0.22907, acc: 0.63393: 
1792/354688 [00:37<1:31:29 64.28it/s]  0 loss: 0.22907, acc: 0.63393: 
1856/354688 [00:38<1:32:51 63.33it/s]  0 loss: 0.22907, acc: 0.63393: 
1920/354688 [00:39<1:40:28 58.52it/s]  0 loss: 0.22907, acc: 0.63393: 
1920/354688 [00:40<1:40:28 58.52it/s]  0 loss: 0.22585, acc: 0.64415: 
1984/354688 [00:40<1:27:14 67.37it/s]  0 loss: 0.22585, acc: 0.64415: 
2048/354688 [00:41<1:28:36 66.33it/s]  0 loss: 0.22585, acc: 0.64415: 
2112/354688 [00:42<1:35:09 61.75it/s]  0 loss: 0.22585, acc: 0.64415: 
