
0/354688 [00:00<? ?it/s] wheel.py:111: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(batch.label, dtype=torch.long, device=self.device)

0/354688 [00:04<? ?it/s]  0 loss: 0.26829, acc: 0.35938: 
0/354688 [00:10<? ?it/s]  0 loss: 0.26829, acc: 0.35938: 
320/354688 [00:10<3:18:20 29.78it/s]  0 loss: 0.26829, acc: 0.35938: 
384/354688 [00:11<2:47:58 35.15it/s]  0 loss: 0.26829, acc: 0.35938: 
448/354688 [00:12<2:12:01 44.72it/s]  0 loss: 0.26829, acc: 0.35938: 
512/354688 [00:13<1:56:31 50.66it/s]  0 loss: 0.26829, acc: 0.35938: 
576/354688 [00:13<1:37:32 60.50it/s]  0 loss: 0.26829, acc: 0.35938: 
640/354688 [00:14<1:22:05 71.88it/s]  0 loss: 0.26829, acc: 0.35938: 
640/354688 [00:15<1:22:05 71.88it/s]  0 loss: 0.20464, acc: 0.69602: 
704/354688 [00:15<1:18:41 74.97it/s]  0 loss: 0.20464, acc: 0.69602: 
768/354688 [00:16<1:24:21 69.92it/s]  0 loss: 0.20464, acc: 0.69602: 
832/354688 [00:17<1:47:46 54.72it/s]  0 loss: 0.20464, acc: 0.69602: 
896/354688 [00:19<1:54:05 51.68it/s]  0 loss: 0.20464, acc: 0.69602: 
960/354688 [00:20<1:44:28 56.43it/s]  0 loss: 0.20464, acc: 0.69602: 
1024/354688 [00:21<1:36:42 60.95it/s]  0 loss: 0.20464, acc: 0.69602: 
1088/354688 [00:22<1:40:55 58.39it/s]  0 loss: 0.20464, acc: 0.69602: 
1152/354688 [00:23<1:48:08 54.49it/s]  0 loss: 0.20464, acc: 0.69602: 
1216/354688 [00:24<1:35:56 61.40it/s]  0 loss: 0.20464, acc: 0.69602: 
1280/354688 [00:25<1:35:24 61.74it/s]  0 loss: 0.20464, acc: 0.69602: 
1280/354688 [00:26<1:35:24 61.74it/s]  0 loss: 0.20232, acc: 0.71131: 
1344/354688 [00:26<1:47:10 54.95it/s]  0 loss: 0.20232, acc: 0.71131: 
1408/354688 [00:28<1:56:52 50.38it/s]  0 loss: 0.20232, acc: 0.71131: 
1472/354688 [00:29<1:56:52 50.37it/s]  0 loss: 0.20232, acc: 0.71131: 
1536/354688 [00:30<1:58:39 49.60it/s]  0 loss: 0.20232, acc: 0.71131: 
1600/354688 [00:31<1:52:14 52.43it/s]  0 loss: 0.20232, acc: 0.71131: 
1664/354688 [00:32<1:46:00 55.51it/s]  0 loss: 0.20232, acc: 0.71131: 
1728/354688 [00:34<1:43:39 56.75it/s]  0 loss: 0.20232, acc: 0.71131: 
1792/354688 [00:34<1:37:55 60.06it/s]  0 loss: 0.20232, acc: 0.71131: 
